x1,x2,x3,x4,x5
23.92,24.58,23.84,23.94,23.94
23.89,24.21,23.82,24.06,24.16
23.94,24.11,24.05,23.89,24.1
23.89,24.43,23.97,24,24.16
24.35,24.16,23.78,24.47,24.92
23.44,23.97,24.3,24.05,24.24
24.16,24.06,24.21,23.97,24.22
23.95,24.05,23.82,24.08,24.02
23.98,24.21,23.76,24.24,24.13
23.81,23.82,23.97,23.58,24.22
24.08,24.16,23.95,24.38,24.21
23.76,23.78,23.84,24.26,23.9
24.26,24.35,24.13,23.92,23.89
23.87,23.97,23.76,23.97,24.27
24.34,24.24,24.08,24.11,23.98
24,24.1,24.03,24.21,24.14
24.45,24.21,23.65,23.9,23.73
23.66,23.78,23.9,24.03,24.06
24.1,23.86,24,23.5,24.08
24.19,23.73,24.22,23.7,23.78